date,actual_high,actual_low,station_id_used
2026-09-03,84.2,66.2,KSWF
2026-09-04,82.4,68.0,KSWF
2026-09-05,78.8,59.0,KSWF
2026-09-06,75.2,59.0,KSWF
2026-09-07,78.8,51.8,KSWF
2026-09-08,78.8,55.4,KSWF
2026-09-09,80.6,59.0,KSWF
2026-09-10,84.2,66.2,KSWF
2026-09-11,77.0,57.2,KSWF
2026-09-12,78.8,51.8,KSWF
2026-09-13,77.0,64.4,KSWF
2026-09-14,73.4,53.6,KSWF
2026-09-15,71.6,46.4,KSWF
2026-09-16,77.0,55.4,KSWF
2026-09-17,77.0,68.0,KSWF
2026-09-18,78.8,64.4,KSWF
2026-09-19,69.8,55.4,KSWF
2026-09-20,64.4,59.0,KSWF
2026-09-21,69.8,55.4,KSWF
